sample_id,post_id,hashtag,label
1,ai_0001.png,#아이웨이웨이,5
2,ai_0001.png,#AI,4
3,ai_0001.png,#인공지능,5
4,ai_0001.png,#현대미술,4
5,ai_0001.png,#프로젝트,4
6,ai_0003.png,#갤럭시링,5
7,ai_0003.png,#삼성전자,4
8,ai_0004.png,#문장수집,4
9,ai_0004.png,#책추천,4
10,ai_0004.png,#독서,3
11,ai_0004.png,#글귀,4
12,ai_0004.png,#소설,3
13,ai_0004.png,#인공지능,5
14,ai_0004.png,#ai,5
15,ai_0005.png,#웃짤,5
16,ai_0005.png,#취업,2
17,ai_0005.png,#불꽃놀이,1
18,ai_0005.png,#도쿄대학교,1
19,ai_0005.png,#인공지능,1
20,ai_0006.png,#플리크아이,4
21,ai_0008.png,#사랑,5
22,ai_0008.png,#이별,2
23,ai_0008.png,#썸,2
24,ai_0008.png,#설렘,2
25,ai_0008.png,#달달,3
26,ai_0008.png,#설레는,3
27,ai_0008.png,#커플,2
28,ai_0008.png,#연애,4
29,ai_0008.png,#로봇,5
30,ai_0008.png,#인공지능,5
31,ai_0008.png,#공감글,3
32,ai_0008.png,#공감,2
33,ai_0008.png,#소통,2
34,ai_0009.png,#행동,3
35,ai_0009.png,#KOICA,4
36,ai_0009.png,#코이카,4
37,ai_0009.png,#WeKO,3
38,ai_0009.png,#브랜드광고,2
39,ai_0009.png,#브랜드광고영상,3
40,ai_0009.png,#광고영상,2
41,ai_0009.png,#Al,5
42,ai_0009.png,#인공지능,5
43,ai_0009.png,#국제개발협력,4
44,ai_0009.png,#ODA,4
45,ai_0010.png,#라이프체인저스,3
46,ai_0010.png,#제이슨,5
47,ai_0010.png,#채찍피티,5
48,ai_0010.png,#챗GPT,4
49,ai_0010.png,#CHATGPT,5
50,ai_0010.png,#인공지능,5
51,ai_0010.png,#글쓰기,4
52,ai_0010.png,#글쓰기고수되는법,3
53,ai_0010.png,#쌉가능,2
54,ai_0010.png,#AI,4
55,ai_0012.png,#챗GPT,4
56,ai_0012.png,#바드,4
57,ai_0012.png,#인공지능,5
58,ai_0012.png,#개발자,2
59,ai_0012.png,#테스트,2
60,ai_0012.png,#회사원,1
61,ai_0012.png,#직장인,1
62,ai_0012.png,#데이터,2
63,ai_0012.png,#해킹,2
64,ai_0012.png,#보이스피싱,2
65,ai_0012.png,#사기,2
66,ai_0012.png,#프로그래머,1
67,ai_0012.png,#코딩,2
68,ai_0012.png,#코더,2
69,ai_0012.png,#웹툰,5
70,ai_0012.png,#인스타툰,5
71,ai_0012.png,#그림일기,3
72,ai_0012.png,#그림러,3
73,ai_0012.png,#스케치,3
74,ai_0012.png,#만화,5
75,ai_0012.png,#할머니,4
76,ai_0012.png,#동화,3
77,ai_0012.png,#이야기,4
