sample_id,post_id,label,fold
1,ai_0001.png,4,2
2,ai_0001.png,3,2
3,ai_0001.png,4,2
4,ai_0001.png,3,2
5,ai_0001.png,3,2
6,ai_0003.png,4,3
7,ai_0003.png,3,3
8,ai_0004.png,3,3
9,ai_0004.png,3,3
10,ai_0004.png,2,3
11,ai_0004.png,3,3
12,ai_0004.png,2,3
13,ai_0004.png,4,3
14,ai_0004.png,4,3
15,ai_0005.png,4,1
16,ai_0005.png,1,1
17,ai_0005.png,0,1
18,ai_0005.png,0,1
19,ai_0005.png,0,1
20,ai_0006.png,3,2
21,ai_0008.png,4,3
22,ai_0008.png,1,3
23,ai_0008.png,1,3
24,ai_0008.png,1,3
25,ai_0008.png,2,3
26,ai_0008.png,2,3
27,ai_0008.png,1,3
28,ai_0008.png,3,3
29,ai_0008.png,4,3
30,ai_0008.png,4,3
31,ai_0008.png,2,3
32,ai_0008.png,1,3
33,ai_0008.png,1,3
34,ai_0009.png,2,4
35,ai_0009.png,3,4
36,ai_0009.png,3,4
37,ai_0009.png,2,4
38,ai_0009.png,1,4
39,ai_0009.png,2,4
40,ai_0009.png,1,4
41,ai_0009.png,4,4
42,ai_0009.png,4,4
43,ai_0009.png,3,4
44,ai_0009.png,3,4
45,ai_0010.png,2,1
46,ai_0010.png,4,1
47,ai_0010.png,4,1
48,ai_0010.png,3,1
49,ai_0010.png,4,1
50,ai_0010.png,4,1
51,ai_0010.png,3,1
52,ai_0010.png,2,1
53,ai_0010.png,1,1
54,ai_0010.png,3,1
55,ai_0012.png,3,1
56,ai_0012.png,3,1
57,ai_0012.png,4,1
58,ai_0012.png,1,1
59,ai_0012.png,1,1
60,ai_0012.png,0,1
61,ai_0012.png,0,1
62,ai_0012.png,1,1
63,ai_0012.png,1,1
64,ai_0012.png,1,1
65,ai_0012.png,1,1
66,ai_0012.png,0,1
67,ai_0012.png,1,1
68,ai_0012.png,1,1
69,ai_0012.png,4,1
70,ai_0012.png,4,1
71,ai_0012.png,2,1
72,ai_0012.png,2,1
73,ai_0012.png,2,1
74,ai_0012.png,4,1
75,ai_0012.png,3,1
76,ai_0012.png,2,1
77,ai_0012.png,3,1
78,ai_0013.png,4,0
79,ai_0013.png,4,0
80,ai_0013.png,4,0
81,ai_0013.png,4,0
82,ai_0013.png,1,0
83,ai_0013.png,1,0
84,ai_0013.png,1,0
85,ai_0013.png,2,0
86,ai_0013.png,2,0
87,ai_0013.png,1,0
88,ai_0013.png,1,0
89,ai_0014.png,4,2
90,ai_0014.png,1,2
91,ai_0014.png,4,2
92,ai_0014.png,1,2
93,ai_0014.png,1,2
94,ai_0014.png,0,2
95,ai_0014.png,0,2
96,ai_0014.png,1,2
97,ai_0014.png,0,2
98,ai_0014.png,3,2
99,ai_0014.png,3,2
100,ai_0014.png,2,2
101,ai_0014.png,1,2
102,ai_0014.png,1,2
103,ai_0014.png,4,2
104,ai_0014.png,3,2
105,ai_0014.png,2,2
106,ai_0014.png,3,2
107,ai_0014.png,2,2
108,ai_0014.png,4,2
109,ai_0014.png,2,2
110,ai_0014.png,0,2
111,ai_0014.png,1,2
112,ai_0015.png,3,0
113,ai_0015.png,2,0
114,ai_0015.png,2,0
115,ai_0015.png,2,0
116,ai_0015.png,3,0
117,ai_0015.png,4,0
118,ai_0015.png,4,0
119,ai_0015.png,3,0
120,ai_0015.png,0,0
121,ai_0016.png,4,1
122,ai_0016.png,4,1
123,ai_0016.png,4,1
124,ai_0016.png,4,1
125,ai_0016.png,4,1
126,ai_0016.png,4,1
127,ai_0016.png,4,1
128,ai_0016.png,4,1
129,ai_0016.png,4,1
130,ai_0016.png,1,1
131,ai_0016.png,2,1
132,ai_0016.png,2,1
133,ai_0016.png,4,1
134,ai_0016.png,1,1
135,ai_0016.png,0,1
136,ai_0016.png,1,1
137,ai_0016.png,2,1
138,ai_0017.png,4,1
139,ai_0017.png,3,1
140,ai_0017.png,4,1
141,ai_0017.png,4,1
142,ai_0017.png,4,1
143,ai_0017.png,3,1
144,ai_0017.png,3,1
145,ai_0017.png,2,1
146,ai_0017.png,1,1
147,ai_0017.png,1,1
148,ai_0017.png,1,1
149,ai_0017.png,1,1
150,ai_0017.png,1,1
151,ai_0017.png,1,1
152,ai_0017.png,1,1
153,ai_0017.png,1,1
154,ai_0017.png,1,1
155,ai_0017.png,1,1
156,ai_0017.png,1,1
157,ai_0018.png,4,4
158,ai_0018.png,4,4
159,ai_0018.png,4,4
160,ai_0018.png,4,4
161,ai_0018.png,3,4
162,ai_0018.png,4,4
163,ai_0018.png,4,4
164,ai_0018.png,4,4
165,ai_0018.png,1,4
166,ai_0018.png,1,4
167,ai_0018.png,2,4
168,ai_0018.png,2,4
169,ai_0018.png,2,4
170,ai_0018.png,3,4
171,ai_0018.png,4,4
172,ai_0018.png,3,4
173,ai_0018.png,2,4
174,ai_0018.png,2,4
175,ai_0018.png,3,4
176,ai_0018.png,2,4
177,ai_0018.png,4,4
178,ai_0018.png,4,4
179,ai_0018.png,4,4
180,ai_0018.png,4,4
181,ai_0018.png,3,4
182,ai_0018.png,3,4
183,ai_0018.png,3,4
184,ai_0018.png,1,4
185,ai_0018.png,3,4
186,ai_0018.png,3,4
187,ai_0019.png,4,3
188,ai_0019.png,4,3
189,ai_0019.png,2,3
190,ai_0019.png,1,3
191,ai_0019.png,1,3
192,ai_0019.png,1,3
193,ai_0019.png,2,3
194,ai_0019.png,3,3
195,ai_0019.png,3,3
196,ai_0019.png,1,3
197,ai_0019.png,2,3
198,ai_0019.png,1,3
199,ai_0019.png,2,3
200,ai_0019.png,3,3
201,ai_0019.png,3,3
202,ai_0019.png,3,3
203,ai_0019.png,3,3
204,ai_0019.png,3,3
205,ai_0019.png,2,3
206,ai_0019.png,2,3
207,ai_0019.png,0,3
208,ai_0019.png,1,3
209,ai_0019.png,0,3
210,ai_0019.png,1,3
211,ai_0019.png,4,3
212,ai_0019.png,1,3
213,ai_0019.png,3,3
214,ai_0020.png,4,2
215,ai_0020.png,3,2
216,ai_0020.png,2,2
217,ai_0020.png,3,2
218,ai_0020.png,1,2
219,ai_0020.png,1,2
220,ai_0020.png,1,2
221,ai_0020.png,4,2
222,domesticTravel_0003.png,1,2
223,domesticTravel_0003.png,3,2
224,domesticTravel_0003.png,3,2
225,domesticTravel_0003.png,2,2
226,domesticTravel_0003.png,3,2
227,domesticTravel_0003.png,4,2
228,domesticTravel_0003.png,2,2
229,domesticTravel_0003.png,3,2
230,domesticTravel_0003.png,1,2
231,domesticTravel_0003.png,2,2
232,domesticTravel_0003.png,1,2
233,domesticTravel_0003.png,2,2
234,domesticTravel_0003.png,0,2
235,domesticTravel_0003.png,3,2
236,domesticTravel_0003.png,1,2
237,domesticTravel_0004.png,4,3
238,domesticTravel_0004.png,3,3
239,domesticTravel_0004.png,4,3
240,domesticTravel_0004.png,4,3
241,domesticTravel_0004.png,3,3
242,domesticTravel_0004.png,3,3
243,domesticTravel_0004.png,3,3
244,domesticTravel_0004.png,2,3
245,domesticTravel_0004.png,2,3
246,domesticTravel_0004.png,2,3
247,domesticTravel_0004.png,0,3
248,domesticTravel_0004.png,1,3
249,domesticTravel_0004.png,4,3
250,domesticTravel_0004.png,1,3
251,domesticTravel_0004.png,2,3
252,domesticTravel_0004.png,2,3
253,domesticTravel_0004.png,3,3
254,domesticTravel_0004.png,3,3
255,domesticTravel_0004.png,2,3
256,domesticTravel_0004.png,3,3
257,domesticTravel_0005.png,3,1
258,domesticTravel_0006.png,4,2
259,domesticTravel_0006.png,0,2
260,domesticTravel_0006.png,4,2
261,domesticTravel_0006.png,1,2
262,domesticTravel_0006.png,0,2
263,domesticTravel_0007.png,3,4
264,domesticTravel_0008.png,4,0
265,domesticTravel_0008.png,4,0
266,domesticTravel_0010.png,3,3
267,domesticTravel_0010.png,4,3
268,domesticTravel_0010.png,4,3
269,domesticTravel_0010.png,4,3
270,domesticTravel_0010.png,3,3
271,domesticTravel_0010.png,2,3
272,domesticTravel_0010.png,3,3
273,domesticTravel_0010.png,4,3
274,domesticTravel_0010.png,4,3
275,domesticTravel_0010.png,4,3
276,domesticTravel_0010.png,1,3
277,domesticTravel_0010.png,2,3
278,domesticTravel_0010.png,0,3
279,domesticTravel_0011.png,1,2
280,domesticTravel_0011.png,4,2
281,domesticTravel_0011.png,4,2
282,domesticTravel_0011.png,3,2
283,domesticTravel_0011.png,3,2
284,domesticTravel_0011.png,3,2
285,domesticTravel_0011.png,2,2
286,domesticTravel_0011.png,4,2
287,domesticTravel_0011.png,4,2
288,domesticTravel_0011.png,3,2
289,domesticTravel_0013.png,4,3
290,domesticTravel_0014.png,4,2
291,domesticTravel_0014.png,3,2
292,domesticTravel_0014.png,4,2
293,domesticTravel_0014.png,3,2
294,domesticTravel_0014.png,3,2
295,domesticTravel_0014.png,2,2
296,domesticTravel_0014.png,2,2
297,domesticTravel_0014.png,3,2
298,domesticTravel_0014.png,3,2
299,domesticTravel_0014.png,1,2
300,domesticTravel_0014.png,4,2
301,domesticTravel_0014.png,4,2
302,domesticTravel_0015.png,4,1
303,domesticTravel_0015.png,1,1
304,domesticTravel_0015.png,4,1
305,domesticTravel_0015.png,3,1
306,domesticTravel_0016.png,4,2
307,domesticTravel_0016.png,4,2
308,domesticTravel_0016.png,4,2
309,domesticTravel_0016.png,1,2
310,domesticTravel_0016.png,3,2
311,domesticTravel_0016.png,3,2
312,domesticTravel_0016.png,3,2
313,domesticTravel_0016.png,2,2
314,domesticTravel_0016.png,0,2
315,domesticTravel_0016.png,0,2
316,domesticTravel_0016.png,0,2
317,domesticTravel_0016.png,2,2
318,domesticTravel_0016.png,1,2
319,domesticTravel_0016.png,2,2
320,domesticTravel_0016.png,4,2
321,domesticTravel_0017.png,4,4
322,domesticTravel_0017.png,4,4
323,domesticTravel_0017.png,4,4
324,domesticTravel_0020.png,2,4
325,domesticTravel_0021.png,1,0
326,domesticTravel_0021.png,1,0
327,domesticTravel_0021.png,0,0
328,domesticTravel_0021.png,4,0
329,domesticTravel_0021.png,1,0
330,domesticTravel_0021.png,3,0
331,domesticTravel_0021.png,4,0
332,domesticTravel_0021.png,4,0
333,domesticTravel_0021.png,4,0
334,domesticTravel_0021.png,4,0
335,domesticTravel_0021.png,4,0
336,domesticTravel_0021.png,1,0
337,domesticTravel_0021.png,1,0
338,domesticTravel_0021.png,0,0
339,domesticTravel_0021.png,1,0
340,domesticTravel_0021.png,3,0
341,domesticTravel_0021.png,4,0
342,domesticTravel_0021.png,1,0
343,domesticTravel_0021.png,2,0
344,domesticTravel_0021.png,3,0
345,domesticTravel_0021.png,2,0
346,fall_0001.png,4,0
347,fall_0001.png,3,0
348,fall_0001.png,3,0
349,fall_0001.png,2,0
350,fall_0001.png,0,0
351,fall_0001.png,1,0
352,fall_0001.png,4,0
353,fall_0002.png,4,4
354,fall_0002.png,1,4
355,fall_0002.png,0,4
356,fall_0002.png,1,4
357,fall_0002.png,4,4
358,fall_0002.png,4,4
359,fall_0002.png,3,4
360,fall_0002.png,2,4
361,fall_0002.png,2,4
362,fall_0002.png,1,4
363,fall_0002.png,1,4
364,fall_0002.png,3,4
365,fall_0002.png,3,4
366,fall_0002.png,1,4
367,fall_0003.png,0,1
368,fall_0003.png,0,1
369,fall_0003.png,0,1
370,fall_0003.png,0,1
371,fall_0003.png,0,1
372,fall_0003.png,0,1
373,fall_0005.png,2,0
374,fall_0005.png,2,0
375,fall_0005.png,4,0
376,fall_0005.png,1,0
377,fall_0006.png,4,1
378,fall_0007.png,4,3
379,fall_0007.png,4,3
380,fall_0007.png,3,3
381,fall_0007.png,3,3
382,fall_0007.png,4,3
383,fall_0007.png,4,3
384,fall_0007.png,4,3
385,fall_0007.png,4,3
386,fall_0007.png,4,3
387,fall_0007.png,4,3
388,fall_0007.png,4,3
389,fall_0007.png,4,3
390,fall_0007.png,4,3
391,fall_0007.png,1,3
392,fall_0007.png,1,3
393,fall_0007.png,1,3
394,fall_0007.png,0,3
395,fall_0007.png,0,3
396,fall_0007.png,1,3
397,fall_0007.png,1,3
398,fall_0007.png,1,3
399,fall_0007.png,1,3
400,fall_0007.png,1,3
401,fall_0007.png,0,3
402,fall_0007.png,0,3
403,fall_0007.png,0,3
404,fall_0007.png,1,3
405,fall_0007.png,1,3
406,fall_0007.png,2,3
407,fall_0007.png,3,3
408,fall_0008.png,4,3
409,fall_0008.png,4,3
410,fall_0008.png,4,3
411,fall_0008.png,1,3
412,fall_0009.png,4,0
413,fall_0009.png,4,0
414,fall_0009.png,3,0
415,fall_0009.png,3,0
416,fall_0009.png,4,0
417,fall_0010.png,4,4
418,fall_0010.png,1,4
419,fall_0010.png,4,4
420,fall_0010.png,4,4
421,fall_0010.png,1,4
422,fall_0010.png,1,4
423,fall_0012.png,4,4
424,fall_0012.png,2,4
425,fall_0012.png,4,4
426,fall_0012.png,1,4
427,fall_0012.png,1,4
428,fall_0012.png,1,4
429,fall_0012.png,2,4
430,fall_0012.png,1,4
431,fall_0012.png,1,4
432,fall_0012.png,3,4
433,fall_0012.png,4,4
434,fall_0012.png,2,4
435,fall_0012.png,3,4
436,fall_0012.png,1,4
437,fall_0012.png,1,4
438,fall_0012.png,2,4
439,fall_0013.png,4,2
440,fall_0013.png,4,2
441,fall_0013.png,3,2
442,fall_0013.png,3,2
443,fall_0013.png,4,2
444,fall_0013.png,4,2
445,fall_0013.png,4,2
446,fall_0013.png,4,2
447,fall_0013.png,4,2
448,fall_0013.png,4,2
449,fall_0013.png,4,2
450,fall_0013.png,4,2
451,fall_0013.png,3,2
452,fall_0013.png,0,2
453,fall_0013.png,0,2
454,fall_0013.png,1,2
455,fall_0013.png,1,2
456,fall_0013.png,1,2
457,fall_0013.png,1,2
458,fall_0013.png,1,2
459,fall_0013.png,1,2
460,fall_0013.png,1,2
461,fall_0013.png,0,2
462,fall_0013.png,1,2
463,fall_0013.png,0,2
464,fall_0013.png,1,2
465,fall_0013.png,0,2
466,fall_0013.png,1,2
467,fall_0013.png,1,2
468,fall_0013.png,1,2
469,fall_0014.png,4,0
470,fall_0014.png,4,0
471,fall_0014.png,4,0
472,fall_0014.png,4,0
473,fall_0014.png,4,0
474,fall_0014.png,4,0
475,fall_0014.png,3,0
476,fall_0014.png,3,0
477,fall_0014.png,2,0
478,fall_0014.png,1,0
479,fall_0014.png,2,0
480,fall_0014.png,2,0
481,fall_0014.png,2,0
482,fall_0014.png,1,0
483,fall_0014.png,2,0
484,fall_0014.png,2,0
485,fall_0014.png,1,0
486,fall_0014.png,1,0
487,fall_0014.png,1,0
488,fall_0015.png,4,1
489,fall_0015.png,3,1
490,fall_0015.png,3,1
491,fall_0015.png,1,1
492,fall_0015.png,2,1
493,fall_0015.png,3,1
494,fall_0015.png,3,1
495,fall_0015.png,2,1
496,fall_0015.png,4,1
497,fall_0015.png,4,1
498,fall_0016.png,3,2
499,fall_0016.png,4,2
500,fall_0016.png,4,2
501,fall_0016.png,4,2
502,fall_0016.png,4,2
503,fall_0016.png,2,2
504,fall_0016.png,0,2
505,fall_0016.png,4,2
506,fall_0016.png,3,2
507,fall_0016.png,4,2
508,fall_0016.png,4,2
509,fall_0016.png,1,2
510,fall_0016.png,4,2
511,fall_0017.png,4,0
512,fall_0017.png,4,0
513,fall_0017.png,4,0
514,fall_0017.png,4,0
515,fall_0017.png,4,0
516,fall_0017.png,4,0
